"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover";"price_currency";"turnover_currency"
"XLJU";"PETG";"SI0031102153";"2018-12-06";"CT";321,00;328,00;321,00;327,00;324,60473588342;0,00;14;549,00000;178208,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-05";"CT";324,00;327,00;320,00;327,00;321,37056737589;0,62;22;564,00000;181253,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-04";"CT";322,00;325,00;320,00;325,00;321,46330275229;0,93;11;218,00000;70079,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-03";"CT";321,00;322,00;321,00;322,00;321,84126984127;0,00;12;189,00000;60828,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-30";"CT";322,00;322,00;321,00;322,00;321,85401459854;0,63;8;137,00000;44094,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-29";"CT";322,00;322,00;320,00;320,00;321,56593406593;-2,14;12;182,00000;58525,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-28";"CT";324,00;327,00;321,00;327,00;324,58750000000;0,62;11;160,00000;51934,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-27";"CT";320,00;325,00;320,00;325,00;324,34456928839;0,31;15;1068,00000;346400,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-26";"CT";325,00;328,00;324,00;324,00;324,08837209302;-1,22;14;215,00000;69679,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-23";"CT";324,00;328,00;323,00;328,00;324,17300613497;1,23;15;815,00000;264201,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-22";"CT";319,00;324,00;319,00;324,00;320,70318352060;1,25;15;1068,00000;342511,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-21";"CT";316,00;323,00;316,00;320,00;320,26802585778;-0,62;24;2011,00000;644059,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-20";"CT";320,00;322,00;318,00;322,00;320,03544303797;0,31;17;1580,00000;505656,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-20";"BLOCK";;320,00;320,00;320,00;320,00000000000;;1;500,00000;160000,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-19";"CT";323,00;324,00;319,00;321,00;321,26857142857;0,31;10;175,00000;56222,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-16";"CT";318,00;324,00;318,00;320,00;319,79715302491;0,00;22;281,00000;89863,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-15";"CT";320,00;321,00;320,00;320,00;320,19036144578;0,31;17;1245,00000;398637,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-14";"CT";320,00;320,00;319,00;319,00;319,06172839506;-0,31;5;81,00000;25844,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-13";"CT";319,00;321,00;319,00;320,00;320,06091370558;-0,31;15;394,00000;126104,00;"EUR";"EUR"
